Maker,Model,Year,Credit Card
Lincoln,Town Car,1992,5048373950086797
Maserati,Quattroporte,2008,5048378591282598
Dodge,Nitro,2011,5048370822710695
Mercedes-Benz,E-Class,2011,5108758234004649
Pontiac,Bonneville,1987,5108759326225274
Mercedes-Benz,CLS-Class,2006,5108756464297693
Dodge,Grand Caravan,2011,5108753877437404
Jeep,Cherokee,2001,5108756876051365
Mercury,Sable,2008,5108755059365717
Land Rover,Freelander,2008,5048370540924008
Mercedes-Benz,S-Class,2002,5048372629152386
Mercedes-Benz,CLK-Class,2003,5048373353815990
Hyundai,Santa Fe,2005,5048378876410112
Ford,Edge,2013,5048375420590639
Ford,Expedition,2000,5108752151318124
Ford,F250,2006,5108753232706881
Eagle,Summit,1995,5048377771700445
Bentley,Mulsanne,2011,5108751335192223
Suzuki,Forenza,2005,5108757192629546
Hyundai,Accent,2005,5108757293938523
Hyundai,Santa Fe,2005,5108759628165137
Dodge,Ram 3500,1998,5108753856799881
Plymouth,Acclaim,1995,5048373326407057
Honda,Civic,2002,5108756390426929
Ford,Bronco II,1988,5108758785614085
Pontiac,Bonneville,2000,5108754901660565
Dodge,Dakota Club,1994,5108754735792832
Chevrolet,Blazer,2002,5048378737822414
Land Rover,Range Rover,2003,5048375941400565
Dodge,Journey,2010,5108758707320183
Volkswagen,Golf,1996,5108759540363547
BMW,M3,2009,5108759804031533
Chrysler,Cirrus,1997,5048374981428800
BMW,M3,2003,5108756127103932
Ford,Taurus,2006,5048377826846664
Ford,F150,1993,5108754232561524
Ford,E-Series,1994,5108754490078252
Nissan,Maxima,2000,5048375747548013
Jaguar,XK Series,2005,5108754216494775
Buick,Hearse,1996,5048375290630093
Honda,Fit,2011,5048379556395516
Dodge,Ram 3500 Club,1996,5108758066876783
Toyota,Celica,2001,5048374624812279
Mitsubishi,Excel,1989,5108759097588009
Toyota,Camry,1998,5048375675423114
Kia,Rio,2013,5108750087690624
Mercury,Grand Marquis,2004,5108754643652102
Jeep,Grand Cherokee,2009,5108753441829789
Infiniti,QX,2011,5048378283857160
GMC,Vandura 2500,1993,5048376622639638
BMW,Z4,2004,5048375067577246
Land Rover,Range Rover Sport,2008,5048373065098273
Dodge,Ram 2500,2005,5048370888919156
Nissan,Pathfinder,1995,5048379194288370
Chevrolet,Astro,1993,5048371416045993
Volkswagen,rio,2001,5108751698255161
Chrysler,Town & Country,2005,5108757518124040
Hyundai,Santa Fe,2005,5048378061675396
Suzuki,XL-7,2002,5108758175532665
Infiniti,Q,2002,5108756005161770
Mazda,MX-5,2003,5108759714024404
MINI,Cooper Countryman,2012,5108755126165116
Nissan,Maxima,1998,5048373021009596
Plymouth,Volare,1976,5108752285026775
Chevrolet,Venture,1999,5048373418489542
Chevrolet,3500,1994,5108754825340377
BMW,7 Series,1999,5048372575788357
Lamborghini,Gallardo,2006,5048378037450338
Chevrolet,Cobalt,2007,5108751625269566
Ford,E150,2006,5108756548148029
Hyundai,Genesis Coupe,2011,5108755064891541
Suzuki,Sidekick,1998,5108755131777426
Lexus,ES,1996,5108756872818841
Ford,Thunderbird,1994,5048375566639786
Subaru,Brat,1984,5108754271190334
Mercury,Tracer,1992,5108758405498620
Chevrolet,Silverado 1500,2011,5048375836018407
Lexus,RX,2004,5048373433427006
Toyota,Land Cruiser,1993,5048370375721032
Dodge,Caravan,2006,5048370327924916
Maserati,Quattroporte,1984,5048374931997581
Maybach,57,2012,5048373955698729
Suzuki,XL-7,2001,5108756021089575
Chevrolet,Astro,2000,5108755763226692
Chevrolet,Venture,2001,5048371702859321
BMW,M3,1998,5048372246959478
Cadillac,Escalade,2010,5048376592614538
Ford,Ranger,2006,5048378082715619
Lexus,SC,2005,5048373785298708
Toyota,Camry,2009,5108752280951605
Dodge,Ram 1500,1999,5048377749101288
Buick,Lucerne,2007,5108755236246756
MINI,Clubman,2012,5108759714156107
Pontiac,Bonneville,1968,5048373877601793
Volkswagen,New Beetle,2003,5108754497679300
Audi,riolet,1994,5048377873390673
Cadillac,DTS,2007,5048371517340814
Chevrolet,Suburban 2500,1998,5048378797312025
Nissan,Quest,1994,5048371398129997
Cadillac,DeVille,1994,5108758814556570
Infiniti,I,1996,5108759605413039
Volkswagen,Touareg,2005,5108758886962334
Ford,Edge,2009,5108758705170754
Toyota,Tundra,2009,5048373304268745
Volvo,XC60,2011,5048379422488347
Subaru,Tribeca,2007,5108752302147620
Hyundai,Tiburon,2004,5108753474728320
Mercedes-Benz,E-Class,2000,5108756946341267
Austin,Mini Cooper S,1963,5048377388676657
Volkswagen,Jetta,1995,5108754091569279
Mercedes-Benz,E-Class,1999,5108750910765072
Ford,Escape,2011,5108753581605080
Volvo,S90,1998,5048378820589417
GMC,Savana 2500,2004,5048372731577439
Hyundai,Tiburon,1997,5048372254607340
Cadillac,CTS-V,2012,5108755376555784
Toyota,Camry,2005,5048371935583938
Nissan,Xterra,2003,5048371732790306
Aston Martin,Vantage,2007,5108754059175671
Isuzu,i-370,2007,5048374865704466
Porsche,Panamera,2011,5048373055257913
Saturn,Astra,2008,5108754199874969
Ford,Thunderbird,1992,5048375367617338
Chevrolet,Suburban 1500,2006,5048376714771984
Aston Martin,V8 Vantage,2011,5108758309875378
Bentley,Continental GT,2008,5048378474876045
Jaguar,XK Series,2005,5048371248302414
Acura,ZDX,2012,5108758035703217
Kia,Sorento,2004,5048377963036566
Infiniti,M,2003,5048378188421286
Dodge,Intrepid,2003,5048379076549782
Cadillac,Eldorado,2000,5108759305987860
Lincoln,Continental,1992,5108750651449407
Volkswagen,Quantum,1984,5048375164508888
Daewoo,Leganza,2000,5048375733005853
Ford,Aerostar,1991,5108759537701030
Mazda,RX-7,1987,5048372878262761
Aston Martin,Rapide,2010,5108757977148217
GMC,1500 Club Coupe,1996,5048376683774092
BMW,530,2003,5108755236158266
Hyundai,Scoupe,1994,5108759136056703
Porsche,Boxster,2007,5108756163913079
Ford,Explorer,2000,5108758964646924
Ford,E-Series,1992,5048373319837237
Chevrolet,Avalanche 1500,2002,5108751556187084
Chevrolet,Suburban 2500,2004,5048370601819337
Mitsubishi,Montero,2001,5108758847078709
Chrysler,Sebring,2000,5108759766517347
Cadillac,Catera,2001,5048372651714913
Saab,900,1998,5108754649407840
Dodge,Challenger,2010,5108756979291017
Ford,E150,2009,5048376023421362
Chrysler,Imperial,1992,5108759686159527
Chevrolet,Silverado 2500,2003,5108751256748029
Buick,Regal,2012,5108757275625528
Saturn,Outlook,2007,5048371481373650
Chrysler,Town & Country,2008,5108754112477833
Mercury,Mariner,2010,5048370423146463
Lexus,LS,1992,5108750370972499
Chevrolet,Express 1500,2006,5048371529639633
Dodge,Aries,1981,5108755814092747
Audi,A8,2010,5048370352762462
MINI,Clubman,2012,5108753655756611
Toyota,Tundra,2008,5108750735946238
Eagle,Talon,1992,5048371801335033
Mercedes-Benz,G-Class,2009,5048373163645074
Kia,Sedona,2005,5108757252411918
Hyundai,Azera,2006,5108753968152102
Hyundai,Azera,2011,5048376352449026
Ferrari,599 GTB Fiorano,2007,5108753755927138
GMC,Yukon,1998,5108758836704836
Jaguar,X-Type,2007,5048373923960359
Toyota,MR2,1985,5108755544934853
Infiniti,G,2003,5108754101297572
Mercury,Tracer,1999,5108758552953070
Mitsubishi,Mighty Max,1993,5108759136998789
GMC,2500,1998,5108757703833975
Buick,Skylark,1994,5108754470021652
Ford,E150,1984,5108751963198039
Mercury,Grand Marquis,2005,5108759903727460
Buick,Regal,1990,5048370813154283
Dodge,Ram 1500,2006,5108754078720226
Pontiac,6000,1984,5048371389315357
Volkswagen,Tiguan,2011,5048372911157507
Volkswagen,Golf,1989,5108754416823807
Oldsmobile,Silhouette,1997,5108751876050343
Toyota,Xtra,1995,5048379327480316
Buick,Riviera,1990,5048371760097707
Chevrolet,Monte Carlo,1973,5048370663341345
Pontiac,Firefly,1989,5048370785663626
Land Rover,Range Rover,2004,5048372432588834
Mercury,Topaz,1986,5048374287949293
Volkswagen,Touareg,2005,5108756026483005
GMC,Yukon,1994,5108755247073603
Mitsubishi,Eclipse,2004,5108758381048118
Dodge,Dakota,2011,5048370008183899
Ford,Expedition,2004,5048376552452473
Audi,Allroad,2005,5048379131889512
Mitsubishi,Chariot,1992,5048372479103083
Maserati,Quattroporte,2005,5108750057770067
Hyundai,Accent,2011,5108755653340546
Toyota,Camry,2001,5108759344923363
Mazda,RX-7,1991,5048375074326546
Pontiac,Grand Prix,1967,5108757757150433
Jaguar,X-Type,2004,5048379439288102
Lexus,LX,2001,5048374929534925
Hyundai,Santa Fe,2008,5108751688933314
Nissan,Quest,1998,5108757998190818
Dodge,Ram,1994,5048377276491268
Isuzu,Trooper,2001,5048370012706388
Hyundai,Entourage,2008,5048373904071788
Honda,Civic,1997,5108757895986441
Saab,9-3,2007,5108757441725517
Toyota,MR2,1987,5108754784282545
Ford,Excursion,2002,5108756487322593
Mercedes-Benz,CL-Class,2007,5048375865418874
Buick,Park Avenue,1993,5108758958239116
Mitsubishi,Truck,1993,5108755990468562
Infiniti,J,1994,5048379912714368
Chevrolet,Corvair,1960,5048371831860158
Pontiac,Grand Am,2003,5108750351082805
Suzuki,SX4,2011,5048370365957471
Ford,E-Series,2003,5048372794376208
Honda,Civic,1985,5108750682397294
Lexus,SC,2002,5108754716725959
Pontiac,G8,2009,5108758011050435
Jeep,Wrangler,2001,5048375385537906
Chevrolet,Colorado,2007,5048376328839573
Cadillac,Seville,1997,5108758865716834
Cadillac,Eldorado,1995,5108759399344531
Dodge,Stratus,2001,5108754561912033
Geo,Metro,1995,5048378610163621
Honda,Civic,1996,5108757812990583
Chevrolet,Silverado 3500HD,2006,5048378053758143
Buick,Park Avenue,2003,5108755100077352
Chrysler,Town & Country,1994,5048374573390343
Cadillac,DeVille,1997,5048371142257995
Chrysler,Town & Country,1997,5108753082635040
Volkswagen,Golf,2011,5108757334200214
Cadillac,CTS-V,2011,5108752359677602
Porsche,911,2003,5048372160464216
Pontiac,Grand Prix,2006,5108752847266240
Mercedes-Benz,CL-Class,2000,5108750031783277
Lexus,ES,1999,5108757566650706
Oldsmobile,Aurora,1996,5108759688656322
Saab,9-5,2005,5108759946662450
Audi,S4,1993,5108754668576319
Chevrolet,Cavalier,1997,5108754370326672
Suzuki,Sidekick,1991,5048371255363580
Saturn,S-Series,1997,5048371115656942
BMW,8 Series,1994,5048379838107267
Isuzu,i-290,2007,5048372624434037
Lexus,LS Hybrid,2010,5048374408740613
Chevrolet,Monte Carlo,2005,5108757450421180
Toyota,Tacoma Xtra,2001,5108758855304823
Hummer,H2,2003,5108752003839921
Mitsubishi,Truck,1995,5048378152428648
Infiniti,M,2006,5108753241058514
Dodge,Ram 3500,1997,5108753669237103
Nissan,Sentra,2009,5108757346513125
Kia,Sportage,2011,5108755016769787
Volvo,960,1997,5108758232605082
Kia,Rio,2013,5108753564209736
MINI,Cooper,2010,5048370135314748
Dodge,Ram 2500,1994,5108759620772393
Volkswagen,Eos,2011,5048374639283920
Toyota,Avalon,2011,5048374291231225
Chevrolet,Express,2011,5048371876567098
Mitsubishi,Outlander,2010,5048376917065820
Chevrolet,Silverado 2500,2002,5048378045307280
Chevrolet,Tahoe,2009,5048379546173536
Mercedes-Benz,E-Class,2004,5108751666260193
Ford,Laser,1985,5108755405546523
Ford,Explorer,2002,5048376034823895
Subaru,Legacy,2012,5048375681068614
Isuzu,i-Series,2006,5108756636154244
Infiniti,G,2011,5048373576536159
Infiniti,QX56,2012,5048379954468519
Mitsubishi,Montero,1998,5108758579635809
GMC,Terrain,2010,5108754840619987
Nissan,Altima,1996,5048378124144364
Chevrolet,Bel Air,1967,5048376154642307
Volvo,XC70,2011,5108751480057486
Pontiac,Grand Am,2004,5108751952514204
Ford,Tempo,1994,5108754078782002
Lamborghini,Gallardo,2010,5108752979822703
Plymouth,Voyager,1996,5108753748016460
Jeep,Commander,2010,5108753197578598
Lamborghini,Murciélago,2006,5048377014239557
Ford,Bronco,1994,5048377298050829
Ferrari,612 Scaglietti,2009,5108759751192742
Mercedes-Benz,500SL,1992,5108758187870475
BMW,M5,2003,5048377694836649
Lexus,GX,2009,5048379717198841
Chevrolet,Corvette,1960,5108751513040764
Chevrolet,G-Series G20,1994,5048375445927873
Honda,Accord,1991,5048377061018342
Volkswagen,GTI,1989,5108756769072916
Dodge,Ram 2500,1994,5048374589975921
Chevrolet,S10,1997,5108755237191308
Audi,S4,2008,5048372209889480
Mitsubishi,RVR,1993,5048372272281276
Toyota,Sienna,2012,5048373124298302
Ford,Thunderbird,1994,5048373276699786
Pontiac,6000,1985,5108756670328548
Infiniti,FX,2010,5048378659615309
Audi,S8,2008,5108758170198652
Buick,Rainier,2004,5048376365613824
Kia,Sephia,1995,5108758700211371
Audi,A6,2001,5048371496573344
Jaguar,XJ,2008,5108752041735669
Toyota,RAV4,2011,5108753720860216
Audi,A8,2009,5108758959790893
MINI,Clubman,2012,5108757885790498
Mazda,B2500,2001,5048374749591550
Chevrolet,Caprice,1991,5108753439568076
Chevrolet,Aveo,2009,5048376448342797
Isuzu,Hombre Space,1998,5048370361948805
Chevrolet,Silverado 3500,2007,5048376086432751
Nissan,300ZX,1993,5108754167621723
Dodge,Colt,1989,5048378843337430
Saab,9-3,2009,5108758412801584
BMW,5 Series,2006,5108757933120581

